"","NU_IDADE","TP_SEXO","TP_ESCOLA","TP_ENSINO","SG_UF_PROVA","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","TX_RESPOSTAS_CN","TX_RESPOSTAS_CH","TX_RESPOSTAS_LC","TX_RESPOSTAS_MT","TP_LINGUA","TX_GABARITO_CN","TX_GABARITO_CH","TX_GABARITO_LC","TX_GABARITO_MT"
"1",15,"M",1,NA,"PE",527.4,545.7,561.5,500.6,"BEAEAADABBAAADBBABAECABCCCBEBADACDBACAEABEBAB","BBADDAAEEDCABEDAACAADDABEEEEDADDAEABBABDCDEED","CCBDE99999BDAECAABCECEABECDEAADBBACEADBACAAAAADDBA","BCCCABAEBBDADDAEDAABABAAACCAABDDABEAEBDCAAEAA",0,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"2",23,"M",1,NA,"SP",558.9,590,575.3,587.8,"AEDECEACBEEECDDBEDACACCEAEDDABEDBABCEECEAECBA","BDBDCADEEABBBCDAADBEDEBEDAEECEADACDCABBCCDECC","DACDE99999BDDEDABBCECBEECAEBEEDBBCDBABBACACEACDDAE","ABBBABEDACADBBBEBCAABCCECDEBDCAEABEACDCAECEDA",0,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"3",32,"F",1,NA,"MG",496,552.2,511,597.9,"EBCDCABABEEAECACACDCABADBDAAEDBABCDBEAEDAECEE","EDCECCCBDABDDEDDEAAEDEBBDEBAAAADAAAACCBDCCEEA","99999ECACEACABAAEDEEDDBEAADECEDACADECDBECABADEEEBB","AACAACBCDDEBACCEDCABDCCCADBCBAEBABEBCBADBEECE",1,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"4",19,"F",1,NA,"MA",412.4,544,496.6,372.3,"CCEEACEECBBADCDBDAEEEADCCEBCBECBBDADABDABAECA","BDDECABBCABECDDAADAECEAEDBDDBCADBCACBABDAECAA","99999DCAAEBCDEAABAECCBACEAECECBBBEBCADBBCDCBADDDBA","CDBBDABEBCCBBACDDACDBEBDADADEEDEAEBCDAACDBBAC",1,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"5",29,"F",1,NA,"PR",546.8,584.1,576.5,412.2,"DEDDBDACDBADBBBEBBBADDDBADDECDBDBBDBDBEAAECDD","CEDCCADECEAABBDAECDECDABDADBBDBBBCCBCCBDEADBD","99999DDACCBDAEDDBDCCDDAEEAEEDEABBCBCABBCCAAAEDDDCB","CBC.BDABACADDACBBDACDBCCCCBBDBBDBBCBEACDCEDCD",1,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"6",20,"M",1,NA,"MS",515,566.8,505.6,586.5,"CADDABCCBCBAABEBCAADBDEAABBBACDCABCECABEAECCD","DCCCBABEEABABADBEAAECDBBBAEDAEBDACABCDADDDBCA","99999CCECBBADEAADCCDBEBDAADECBDBCCEECDBDEAEBBEADCE","CECCEADAAEDBBCBADAABCAEAECCBBECAADDACCADCEEBB",1,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"7",19,"M",1,NA,"MG",581.5,490.8,479.4,518.2,"DEBCAADCBCEACDBAAEDAECBCDBCAADBEEBECDCEDBEDBD","ECAEACAEEADACDBBABEECDBADEADDBBCBAECCEDBCDDBC","99999CEACABDAECAEDCEDBDDEBDCADABBCEDCABEBEBADCBCAE","CEBCDBDACCDABADECDACBBCDAEBDEAACDBEECADBEAEBD",1,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"8",20,"F",1,NA,"PR",558.2,585,586.4,552.7,"BEEEAAEADBEBCABDBEADBECEACEADDCCDBEDCDBABBEAD","BDBDCADEDEBABEDAACAEEDEEBABEDEDBACACAEBEAADDC","DDADE99999BDBEEAABCDCDBBAADEABABBEDEADBAEACCAADDAB","DBCAACDCBEABBCDDECABECEDBDCCADBDAACEABCADEACA",0,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"9",47,"F",1,NA,"RN",611.1,607.7,565.8,553.8,"AEEBDDBCDBDCDDDBBDADBBEBAAAEDBCDDABDDCEDCEEEE","EDAECADEECACBCDDECDEBDDCDCEABEEEDECCCEADEECEE","DDAEC99999DEAEDCABCADDEEBADEDCABBCBECBBBDABEEEDDCE","EECCEECCDDDACEBCEBABDCEDDACDEDEDEBBADAAAAAAAA",0,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
"10",25,"M",1,NA,"SC",566.9,516.5,552.3,569,"BEEBCDECBAEDBABEBAADBDCBAEADBACCCBEAADEDBBCEC","BDCEBAEEEACAEDBAAEDDCEBBDADBBAAABCEDAEEDCEBEC","DDCDE99999BEDACACEBCCEAEEADACCEBBADEACBDCAACBDDDDE","CBDADCACCBACBBBEDEABCCEABDEBEABAABEBECDACEBDB",0,"DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE","CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE","DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB","ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD"
